age,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality,gaming_intensity_index,online_social_ratio,gaming_screen_share,mental_burden_index,gender_Female,gender_Male,gender_Other
24.0,109840.0,1.38,27.0,3.0,8.98,3.94,2.83,9.0,3.79,2.84,5.12,7.97,79.72,85.4,0.91,0.54,0.52,0.48,0.7,0.48,8.0,9.0,379.0,1.6,9.0,1.0,131.9,3.0,1.43,6.84,5.21,17.97,2.43,5.3,5.33,97.0,10.0,2.1285714285714286,37.9,0.5679010008637856,5.21,0,0,1
34.0,56327.0,1.6,34.0,6.0,5.17,0.34,1.4,6.0,2.94,6.14,7.17,5.03,89.26,79.11,1.09,0.35,0.55,0.74,0.8,0.16,6.18,45.0,44.0,1.24,2.0,1.0,469.81,0.0,5.7,8.79,4.12,26.55,5.86,4.61,5.56,52.0,9.0,2.025714285714286,0.9565217391304348,0.27303749606868666,5.026666666666666,1,0,0
56.0,84454.0,0.34,20.0,23.0,5.67,2.84,1.54,10.0,6.78,2.54,5.89,3.87,90.96,85.53,0.0,0.68,0.24,0.36,0.44,0.83,1.91,32.0,23.0,2.16,9.0,1.0,629.85,4.0,6.66,5.93,5.24,25.19,4.04,3.45,4.19,48.0,4.0,0.5157142857142858,0.696969696969697,0.08415839501029827,6.44,0,1,0
37.0,74036.0,4.16,36.0,4.0,7.76,3.87,1.51,10.0,2.22,5.11,4.79,9.05,51.84,63.77,2.35,0.21,0.08,0.36,0.54,0.89,7.88,45.0,296.0,0.76,0.0,0.0,127.18,6.0,2.37,3.8,4.28,28.58,5.63,3.25,3.53,61.0,10.0,4.097142857142857,6.434782608695652,0.738898625417651,5.776666666666666,0,1,0
39.0,141414.0,1.02,38.0,5.0,5.28,0.48,1.55,9.0,2.8,4.46,8.15,4.73,85.27,81.9,0.8,0.58,0.13,0.41,0.25,0.61,2.77,8.0,383.0,0.57,7.0,0.0,10.53,2.0,1.25,5.54,3.16,26.44,5.36,1.75,8.5,24.0,3.0,1.124285714285714,42.55555555555556,0.1902984719592403,5.419999999999999,1,0,0
54.0,90916.0,6.0,31.0,3.0,6.93,3.78,0.72,2.0,4.87,4.01,7.26,4.67,64.17,78.45,4.31,0.65,0.12,0.17,0.5,0.68,7.8,48.0,482.0,3.79,3.0,1.0,276.57,7.0,3.14,1.03,7.6,22.41,8.15,5.87,5.16,96.0,2.0,5.3999999999999995,9.83673469387755,0.7361962286875794,3.6266666666666665,0,1,0
40.0,84918.0,0.3,22.0,11.0,7.71,9.0,0.45,4.0,3.34,10.0,6.47,4.64,74.29,55.52,0.0,0.61,0.61,0.36,0.67,0.44,2.72,20.0,286.0,0.98,10.0,1.0,1778.56,9.0,5.22,5.94,5.24,18.93,10.77,8.46,3.28,25.0,4.0,0.602857142857143,13.619047619047619,0.027855150616977662,5.78,0,1,0
28.0,78999.0,0.99,29.0,13.0,5.72,0.17,0.88,7.0,5.03,9.5,5.75,8.8,78.19,53.77,1.96,0.54,0.2,0.37,0.59,0.64,12.79,27.0,166.0,2.29,9.0,1.0,482.14,1.0,2.84,5.03,4.89,25.25,1.66,7.78,3.99,11.0,9.0,2.5342857142857143,5.928571428571429,0.5963851829004923,7.176666666666667,1,0,0
27.0,33824.0,2.62,16.0,14.0,8.51,0.27,0.1,10.0,4.75,6.18,7.69,5.38,76.17,80.75,1.72,0.23,0.33,0.36,0.42,0.84,9.55,46.0,426.0,2.25,5.0,0.0,373.49,3.0,5.58,4.9,7.3,25.02,6.65,8.36,4.48,34.0,6.0,3.235714285714286,9.063829787234043,0.39398490316016493,6.976666666666667,0,1,0
59.0,52879.0,6.08,21.0,8.0,6.86,1.92,0.49,8.0,1.28,5.65,5.97,7.88,67.34,85.72,3.13,0.26,0.29,0.28,0.09,0.5,4.28,46.0,236.0,4.4,4.0,1.0,94.06,4.0,4.46,6.25,9.29,26.41,9.8,3.85,5.96,16.0,6.0,4.954285714285715,5.0212765957446805,0.6204080999583571,4.976666666666667,0,1,0
56.0,40754.0,5.17,18.0,24.0,6.74,0.56,1.3,6.0,4.9,6.61,6.83,5.8,84.62,66.71,3.08,0.15,0.12,0.17,0.3,0.41,7.89,1.0,444.0,4.24,0.0,0.0,42.71,8.0,3.41,7.86,4.78,24.12,7.54,2.19,6.22,31.0,4.0,4.82,222.0,0.6856763016344427,5.836666666666667,0,1,0
15.0,66658.0,1.07,31.0,12.0,6.67,0.19,6.29,7.0,7.6,6.77,7.92,4.88,50.11,71.11,0.0,0.42,0.5,0.87,0.51,0.61,14.03,40.0,177.0,2.22,1.0,1.0,464.78,0.0,6.45,2.72,6.09,24.78,4.57,2.11,5.47,96.0,10.0,2.7685714285714282,4.317073170731708,0.23413561616288486,7.123333333333332,0,1,0
49.0,89317.0,7.5,12.0,0.0,8.04,0.25,2.42,2.0,7.35,7.04,6.1,6.33,68.94,55.06,5.38,0.19,0.1,0.28,0.74,0.54,7.31,0.0,60.0,1.55,3.0,0.0,126.08,1.0,5.59,5.11,5.4,22.4,9.34,3.92,2.95,17.0,2.0,6.401428571428572,60.0,0.8029977726983113,5.463333333333334,0,1,0
19.0,128017.0,8.0,32.0,6.0,5.79,8.49,6.0,3.0,7.64,3.98,6.59,1.61,55.89,34.71,6.25,0.89,0.38,0.43,0.65,0.73,4.75,9.0,216.0,1.68,1.0,1.0,745.56,10.0,5.37,5.11,3.77,26.7,11.96,3.07,3.95,22.0,1.0,6.392857142857143,21.6,0.6688962651424527,4.873333333333333,1,0,0
33.0,130936.0,1.72,35.0,15.0,6.57,0.6,0.7,5.0,5.69,2.17,10.0,0.95,87.82,74.05,1.57,0.6,0.19,0.32,0.64,0.87,6.45,34.0,149.0,0.8,7.0,0.0,568.89,4.0,4.23,4.58,6.29,30.79,6.97,4.76,1.72,24.0,2.0,2.15,4.257142857142857,0.24677184407864503,4.286666666666666,1,0,0
21.0,25023.0,6.59,6.0,12.0,6.59,2.99,1.44,1.0,4.92,9.55,6.29,4.73,50.85,77.94,5.67,0.6,0.28,0.22,0.37,0.49,10.56,24.0,281.0,0.43,10.0,0.0,341.02,1.0,5.7,5.17,8.08,22.88,7.34,3.85,6.6,0.0,10.0,6.215714285714286,11.24,0.8978200411689317,5.156666666666667,0,1,0
51.0,61159.0,4.88,9.0,18.0,4.8,2.87,3.68,1.0,4.26,2.9,5.08,2.3,75.28,74.59,2.76,0.31,0.14,0.37,0.32,0.74,19.98,43.0,316.0,2.95,0.0,0.0,817.23,7.0,4.48,4.63,9.61,28.99,16.57,5.04,0.56,63.0,6.0,6.339999999999999,7.181818181818182,0.2945081294804991,2.72,1,0,0
30.0,70010.0,4.64,26.0,11.0,5.75,0.79,1.35,9.0,6.89,4.24,4.92,6.2,37.43,36.85,5.2,0.68,0.18,0.12,0.57,0.78,1.45,0.0,443.0,2.38,1.0,0.0,49.62,3.0,3.61,4.18,5.82,18.66,9.34,6.61,4.09,51.0,9.0,3.5214285714285714,443.0,0.49678795537602194,6.71,0,1,0
16.0,10752.0,2.08,1.0,3.0,6.54,8.22,0.76,9.0,4.14,3.92,9.5,4.3,71.69,77.15,0.71,0.71,0.12,0.22,0.45,0.79,4.35,11.0,13.0,0.52,9.0,1.0,132.89,10.0,6.83,5.2,6.78,19.14,4.73,8.74,1.04,44.0,2.0,2.107142857142857,1.0833333333333333,0.4397462072418166,5.6866666666666665,1,0,0
37.0,85058.0,6.77,21.0,24.0,4.89,2.31,3.14,10.0,7.32,2.53,6.64,9.89,66.53,30.66,4.32,0.53,0.14,0.37,0.59,0.59,2.49,44.0,340.0,0.75,2.0,1.0,204.9,8.0,6.18,5.0,6.73,15.98,9.21,7.42,2.77,52.0,4.0,5.191428571428571,7.555555555555555,0.7350704956492404,6.616666666666667,0,1,0
26.0,132416.0,4.02,23.0,7.0,10.29,3.62,0.55,8.0,6.87,4.5,3.24,8.27,73.05,60.52,3.45,0.47,0.12,0.54,0.4,0.82,0.95,27.0,56.0,2.08,1.0,0.0,224.24,1.0,0.88,2.8,3.38,29.0,9.27,4.13,6.84,81.0,4.0,3.0071428571428567,2.0,0.43365691114812177,6.456666666666667,1,0,0
21.0,109421.0,7.61,39.0,6.0,5.18,0.31,0.62,8.0,5.3,2.45,2.33,5.58,75.82,59.01,6.45,0.95,0.66,0.23,0.49,0.85,3.37,17.0,71.0,1.16,4.0,0.0,189.88,0.0,4.31,6.0,4.2,29.06,11.76,3.88,1.83,42.0,7.0,5.917142857142857,3.9444444444444446,0.6471087885111575,5.25,0,1,0
38.0,59227.0,2.48,3.0,0.0,6.21,2.78,5.53,1.0,4.28,8.11,3.32,5.49,59.96,57.99,0.64,0.69,0.44,0.26,0.42,0.34,4.77,32.0,347.0,1.86,3.0,1.0,695.48,5.0,5.78,3.7,5.95,26.34,4.35,3.8,0.25,74.0,4.0,2.4528571428571433,10.515151515151516,0.5701148114678595,4.463333333333334,0,1,0
14.0,15690.0,1.6,34.0,20.0,7.85,0.65,0.59,10.0,6.51,2.19,1.36,4.71,61.36,63.68,0.31,0.74,0.14,0.38,0.63,0.63,2.74,0.0,425.0,1.02,2.0,0.0,765.21,2.0,8.5,6.23,4.25,23.74,10.72,4.67,3.75,14.0,7.0,1.5342857142857143,425.0,0.1492537174203622,6.233333333333333,1,0,0
32.0,125309.0,3.9,18.0,4.0,7.04,0.02,0.55,7.0,4.96,5.67,3.28,4.7,80.05,88.98,3.47,0.51,0.22,0.74,0.46,0.69,4.16,44.0,44.0,0.44,1.0,0.0,637.56,7.0,6.98,6.51,3.69,20.49,4.58,1.18,2.2,70.0,5.0,3.38,0.9777777777777777,0.8515281983562885,5.876666666666666,0,1,0
40.0,141923.0,3.86,23.0,3.0,5.92,0.4,0.35,8.0,5.67,10.0,7.23,5.48,51.82,88.55,3.62,0.84,0.18,0.59,0.83,0.59,4.99,1.0,88.0,0.26,4.0,1.0,219.41,10.0,6.86,5.08,6.82,20.81,4.51,5.27,2.84,15.0,8.0,3.4699999999999998,44.0,0.855875641712718,7.890000000000001,0,1,0
59.0,71205.0,2.63,23.0,17.0,6.54,8.11,3.09,7.0,5.68,5.9,7.29,3.57,54.32,90.24,4.86,0.21,0.29,0.34,0.93,0.43,5.96,2.0,75.0,1.36,7.0,0.0,101.09,10.0,4.74,6.97,9.25,23.69,3.81,4.14,4.46,69.0,8.0,2.73,25.0,0.6902885327326685,6.1933333333333325,0,1,0
19.0,118775.0,11.98,1.0,16.0,9.08,2.57,0.24,8.0,4.2,6.0,4.52,5.76,78.61,95.13,8.38,0.84,0.21,0.13,0.62,0.39,4.76,40.0,81.0,1.95,9.0,0.0,6.79,2.0,4.75,3.49,6.52,20.5,19.11,2.37,10.0,31.0,9.0,9.237142857142858,1.975609756097561,0.6268968798065474,6.066666666666666,1,0,0
56.0,24479.0,1.74,14.0,3.0,4.84,4.27,2.53,7.0,4.89,4.18,2.01,4.39,59.42,73.35,1.5,0.36,0.16,0.57,0.32,0.41,0.73,43.0,454.0,2.1,5.0,0.0,772.83,10.0,5.53,5.6,9.75,21.42,6.5,1.61,1.89,47.0,6.0,1.3471428571428572,10.318181818181818,0.26769226650888206,5.3566666666666665,0,1,0
20.0,93784.0,2.91,22.0,7.0,7.11,3.92,4.46,5.0,7.3,2.08,5.56,4.19,80.21,80.22,2.5,0.82,0.08,0.54,0.56,0.18,5.09,8.0,409.0,1.92,7.0,0.0,309.51,8.0,3.78,7.89,7.75,24.87,4.14,5.75,3.23,41.0,6.0,2.8057142857142856,45.44444444444444,0.7028983809424201,4.793333333333333,1,0,0
59.0,86112.0,0.8,22.0,1.0,8.13,0.78,0.22,5.0,4.7,4.44,3.82,8.75,79.74,76.77,1.4,0.66,0.24,0.67,0.84,0.71,3.22,5.0,353.0,2.21,7.0,0.0,58.33,9.0,3.06,5.44,5.81,29.15,5.45,7.22,1.06,82.0,3.0,1.0314285714285716,58.833333333333336,0.14678896389193324,4.713333333333334,0,1,0
47.0,130279.0,0.61,6.0,15.0,6.46,5.14,0.79,2.0,1.86,5.42,7.6,8.51,71.39,100.0,0.0,0.78,0.5,0.47,0.86,0.12,7.42,19.0,464.0,0.25,5.0,1.0,162.98,5.0,4.41,7.67,5.24,33.04,1.66,7.5,2.43,76.0,8.0,1.4957142857142856,23.2,0.3674696581508084,3.0933333333333337,0,1,0
26.0,145888.0,3.6,30.0,23.0,7.76,2.24,2.94,1.0,3.2,2.48,5.64,3.97,59.83,63.34,3.01,0.91,0.15,0.55,0.25,0.45,6.26,42.0,258.0,1.06,1.0,0.0,2297.394500000001,9.0,3.68,6.57,8.21,24.79,9.25,5.06,4.6,10.0,7.0,3.4657142857142853,6.0,0.38918914711468683,2.2266666666666666,0,1,0
29.0,59846.0,1.41,30.0,5.0,6.83,0.33,0.34,1.0,1.32,5.68,5.32,9.2,76.65,68.87,1.27,0.26,0.19,0.64,0.84,0.46,5.01,8.0,119.0,2.2,3.0,0.0,301.54,3.0,2.11,5.26,6.65,26.52,3.07,7.79,1.83,49.0,4.0,1.7228571428571426,13.222222222222221,0.45928323801848925,2.6666666666666665,1,0,0
48.0,101012.0,4.46,7.0,23.0,8.23,1.16,0.28,4.0,3.42,4.56,2.43,7.67,61.4,68.82,4.59,0.48,0.18,0.35,0.32,0.82,7.7,33.0,117.0,2.92,6.0,0.0,327.5,10.0,5.22,1.39,9.2,22.76,8.08,3.32,3.57,17.0,4.0,4.285714285714286,3.4411764705882355,0.5519801297054295,3.9933333333333336,0,1,0
52.0,100662.0,6.12,25.0,5.0,10.26,2.14,3.53,1.0,7.89,4.95,4.87,7.97,56.78,69.08,5.74,0.26,0.59,0.17,0.66,0.84,4.22,15.0,181.0,0.03,8.0,1.0,694.94,4.0,4.56,4.41,4.33,29.47,9.79,8.28,6.64,35.0,8.0,4.974285714285714,11.3125,0.6251276174537674,4.613333333333333,0,0,1
16.0,128799.0,0.66,31.0,8.0,4.69,0.48,2.54,9.0,4.95,7.8,6.65,3.52,92.84,81.64,1.93,0.12,0.74,0.04,0.25,0.33,5.7,27.0,255.0,1.29,9.0,1.0,2270.06,0.0,4.33,5.99,3.59,26.13,8.4,2.46,7.76,33.0,10.0,1.2857142857142858,9.107142857142858,0.07857141921768819,7.25,0,1,0
14.0,54077.0,3.54,11.0,22.0,4.44,0.53,3.91,6.0,8.18,5.59,4.49,6.23,82.47,70.52,1.11,0.92,0.12,0.55,0.6,0.42,8.54,27.0,263.0,1.08,4.0,1.0,291.52,1.0,4.5,2.4,3.26,20.47,7.66,0.0,2.74,82.0,9.0,3.748571428571428,9.392857142857142,0.46214093183538746,6.59,1,0,0
18.0,81756.0,4.22,10.0,16.0,4.95,0.14,0.17,7.0,3.13,6.62,8.13,3.84,62.81,69.86,2.94,0.71,0.14,0.15,0.6,0.74,1.35,43.0,455.0,2.96,2.0,0.0,289.49,10.0,4.93,4.75,5.53,27.23,9.09,4.24,6.22,70.0,4.0,3.207142857142857,10.340909090909092,0.46424637357025594,5.583333333333333,0,1,0
54.0,51680.0,5.03,5.0,13.0,5.77,2.59,0.02,10.0,4.89,3.41,3.44,5.1,45.31,73.98,3.22,0.67,0.13,0.48,0.33,0.8,3.64,0.0,451.0,2.62,10.0,1.0,516.83,6.0,4.14,5.13,8.68,25.52,6.4,6.87,3.42,33.0,5.0,4.112857142857143,451.0,0.7859373771972847,6.1000000000000005,1,0,0
16.0,81184.0,6.17,19.0,24.0,2.94,3.36,1.72,4.0,4.51,3.65,3.78,6.89,81.47,87.78,2.87,0.81,0.04,0.52,0.08,0.84,3.58,21.0,225.0,0.58,5.0,1.0,275.91,8.0,4.48,5.83,3.47,18.88,12.59,2.03,1.81,84.0,6.0,4.918571428571428,10.227272727272727,0.49007144638034583,4.053333333333334,0,1,0
41.0,60181.0,2.53,19.0,5.0,8.05,1.28,0.07,7.0,4.7,3.59,6.02,5.1,80.26,54.98,2.26,0.54,0.05,0.57,0.37,0.45,6.51,41.0,385.0,2.52,1.0,0.0,1145.54,4.0,3.55,4.98,5.89,22.92,5.9,0.0,5.84,0.0,5.0,2.7371428571428567,9.166666666666666,0.42881348664178187,5.096666666666667,0,1,0
30.0,93635.0,2.5,2.0,3.0,6.92,3.05,2.53,2.0,6.19,10.0,6.21,4.4,79.05,67.18,3.02,0.27,0.08,0.24,0.16,0.29,5.83,21.0,102.0,4.46,5.0,1.0,7.06,6.0,5.24,4.8,6.2,21.87,3.61,5.6,5.75,34.0,4.0,2.6185714285714283,4.636363636363637,0.6925205837893119,6.0633333333333335,0,0,1
38.0,36292.0,4.71,20.0,22.0,8.11,1.13,0.79,8.0,5.6,4.37,6.32,6.11,87.93,57.9,3.93,0.6,0.16,0.27,0.64,0.16,3.11,32.0,232.0,5.56,2.0,1.0,960.27,5.0,1.77,4.17,7.74,21.42,13.82,8.9,2.1,51.0,10.0,3.8085714285714287,7.03030303030303,0.3408103950209555,5.989999999999999,1,0,0
56.0,10879.0,6.38,1.0,15.0,8.03,3.32,1.53,9.0,4.39,8.32,7.91,5.84,77.46,57.34,2.52,0.75,0.2,0.28,0.49,0.6,8.71,14.0,346.0,1.43,1.0,0.0,1672.27,5.0,3.07,3.19,6.93,11.07,13.36,9.85,3.29,30.0,4.0,5.801428571428572,23.066666666666666,0.47754487443526394,7.236666666666667,0,1,0
